name
Madeleine Lebeau
Yvonne
Dooley Wilson
Sam
Joy Page
Annina Brandel
John Qualen
Berger
Leonid Kinskey
Sascha
Curt Bois
Pickpocket
Enzo Cannavale
Spaccafico
Isa Danieli
Anna
Leo Gullotta
Usher
Marco Leonardi
Salvatore 'Totò' Di Vita - Teenager
Pupella Maggio
Maria Di Vita - Older
Agnese Nano
Elena Mendola
Leopoldo Trieste
Father Adelfio
Salvatore Cascio
Salvatore 'Totò' Di Vita - Child
Tano Cimarosa
Blacksmith
Nicola Di Pinto
Village Idiot
Roberta Lena
Lia
Nino Terzo
Peppino's Father
Jacques Perrin
Salvatore 'Totò' Di Vita - Adult
Philippe Noiret
Alfredo
Claudia Cardinale
Jill McBain
Henry Fonda
Frank
Jason Robards
Manuel 'Cheyenne' Gutiérrez
Charles Bronson
Harmonica
Gabriele Ferzetti
Morton - Railroad Baron
Paolo Stoppa
Sam
Woody Strode
Stony - Member of Frank's Gang
Jack Elam
Snaky - Member of Frank's Gang
Keenan Wynn
Sheriff - Auctioneer
Frank Wolff
Brett McBain
Lionel Stander
Barman
Brahim Hadjadj
Ali La Pointe
Jean Martin
Col. Mathieu
Yacef Saadi
Djafar
Samia Kerbash
Fathia
Ugo Paletti
Captain
Fusia El Kader
Halima
Mohamed Ben Kassen
Petit Omar
Miyu Irino
Shôya Ishida
Saori Hayami
Shoko Nishimiya
Aoi Yûki
Yuzuru Nishimiya
Kenshô Ono
Tomohiro Nagatsuka
Yûki Kaneko
Naoka Ueno
Yui Ishikawa
Miyoko Sahara
Megumi Han
Miki Kawai
Toshiyuki Toyonaga
Satoshi Mashiba
Mayu Matsuoka
Young Shoya Ishida
Sachiko Kojima
Young Kazuki Shimada
Hana Takeda
Young Keisuke Hirose
Fuminori Komatsu
Takeuchi-sensei
Ikuko Tani
Ito Nishimiya
Erena Kamata
Maria Ishida
Ayano Hamaguchi
Shoya's sister
Ajay Devgn
Vijay Salgaonkar
Shriya Saran
Nandini Salgaonkar
Tabu
I.G. Meera Deshmukh
Rajat Kapoor
Mahesh Deshmukh
Ishita Dutta
Anju Salgaonkar
Mrunal Jadhav
Anu Salgaonkar
Prasanna Ketkar
Sr. PI Shrikant Prabhu
Yogesh Sonam
Inspector Vinayak Sawant
Prathamesh Parab
Jose
Rishab Chadha
Sameer Deshmukh
Ashish Warang
New Senior Inspector
Anil Nagarkar
Satish Naik
Tarun Shukla
Swami Chinmayanandji
Smita Inamdar
School Principal
Sanjay Bhatia
ACP Allwin Rego
Lembit Ulfsak
Ivo
Giorgi Nakashidze
Ahmed
Misha Meskhi
Nika
Elmo Nüganen
Margus
Raivo Trass
Juhan
Zura Begalishvili
Aslan
Dato Khakhidze
Aslan's Soldier
Jano Izoria
Aslan's Soldier
Gia Gogishvili
Aslan's Soldier
Vamekh Jangidze
Aslan's Soldier
Aleko Begalishvili
Aslan's Soldier
Temo Khutsishvili
Aslan's Soldier
Giorgi Tsaava
Officer
Denis Khlibov
Soldier
Victor Gegeshidze
Soldier
Ben Affleck
Batman
Bruce Wayne
Henry Cavill
Superman
Clark Kent
Amy Adams
Lois Lane
Gal Gadot
Wonder Woman
Diana Prince
Ray Fisher
Cyborg
Victor Stone
Jason Momoa
Aquaman
Arthur Curry
Ezra Miller
The Flash
Barry Allen
Willem Dafoe
Vulko
Jesse Eisenberg
Lex Luthor
Jeremy Irons
Alfred
Diane Lane
Martha Kent
Connie Nielsen
Queen Hippolyta
J.K. Simmons
Commissioner Gordon
Ciarán Hinds
Steppenwolf
Ryan Zheng
Ryan Choi
Clark Gable
Peter Warne
Claudette Colbert
Ellie Andrews
Walter Connolly
Alexander Andrews
Roscoe Karns
Oscar Shapeley
Jameson Thomas
King Westley
Alan Hale
Danker
Arthur Hoyt
Zeke
Blanche Friderici
Zeke's Wife
Charles C. Wilson
Joe Gordon
Harry Dean Stanton
Travis Henderson
Sam Berry
Gas Station Attendant
Bernhard Wicki
Doctor Ulmer
Dean Stockwell
Walt Henderson
Aurore Clément
Anne Henderson
Claresie Mobley
Car Rental Clerk
Hunter Carson
Hunter Henderson
Viva
Woman on TV
Socorro Valdez
Carmelita
Edward Fayton
Hunter's Friend
Justin Hogg
Hunter - Age 3
Nastassja Kinski
Jane Henderson
Tom Farrell
Screaming Man
John Lurie
'Slater'
Jeni Vici
'Stretch'
Jean Servais
Tony le Stéphanois
Carl Möhner
Jo le Suedois
Robert Manuel
Mario Ferrati
Janine Darcey
Louise
Pierre Grasset
Louis Grutter aka Louis le Tatoué
Robert Hossein
Remi Grutter
Marcel Lupovici
Pierre Grutter
Dominique Maurin
Tonio
Magali Noël
Viviane
Marie Sabouret
Mado les Grands Bras
Claude Sylvain
Ida Ferrati
Jules Dassin
Cesar le Milanais
Armandel
Second Gambler
Alain Bouvette
"Footman, 'L'Age D'Or'"
Alice Garan
Hugh Jackman
Robert Angier
Christian Bale
Alfred Borden
Michael Caine
Cutter
Piper Perabo
Julia McCullough
Rebecca Hall
Sarah
Scarlett Johansson
Olivia Wenscombe
Samantha Mahurin
Jess
David Bowie
Tesla
Andy Serkis
Alley
Daniel Davis
Judge
Jim Piddock
Prosecutor
Christopher Neame
Defender
Mark Ryan
Captain
Roger Rees
Owens
Jamie Harris
Sullen Warder
Noémie Merlant
Marianne
Adèle Haenel
Héloïse
Luàna Bajrami
Sophie
Valeria Golino
La Comtesse
Christel Baras
La faiseuse d'ange
Armande Boulanger
L'élève atelier
Guy Delamarche
L'homme salon
Clément Bouyssou
Le batelier
Ramin Namdar
Ramin Namdar
Aamir Khan
Daljeet 'DJ'
Chandrashekhar Azad
Siddharth
Karan R. Singhania
Bhagat Singh
Sharman Joshi
Sukhi
Rajguru
Kunal Kapoor
Aslam
Ashfaqullah Khan
Atul Kulkarni
Laxman Pandey
Ramprasad Bismil
Soha Ali Khan
Sonia
Durgavati Devi
Alice Patten
Sue McKinley
Madhavan
Flight Lt. Ajay Rathod
Waheeda Rehman
Mrs. Rathod
Anupam Kher
Rajnath Singhania
Kirron Kher
Mitro
DJ's Mother
Om Puri
Amanullah Khan
Aslam's Father
Steven Mackintosh
Mr. McKinley
Lekh Tandon
DJ's Grandfather
Cyrus Sahukar
Rahul
Davor Dujmovic
Perhan
Bora Todorovic
Ahmed
Ljubica Adzovic
Grandmother Khaditza
Husnija Hasimovic
Uncle Merdzan
Sinolicka Trpkova
Azra
Zabit Memedov
Zabit
Elvira Sali
Danira
Suada Karisik
Dzamila
Predrag Lakovic
Ahmed's older brother
Mirsad Zulic
Zef
Ajnur Redzepi
Perhan's son
Sedrije Halim
Azra's mother Ruza
Saban Rojan
Azra's father Alija
Branko Djuric
Sadam
Edin Rizvanovic
Irfan
Mohanlal
George Kutty
Meena
Rani George
Asha Sharath
IG Geetha Prabhakar
Ansiba
Anju George
Esther Anil
Anumol George (Anu)
Baiju V.K.
Soman
Kalabhavan Shajohn
Constable Sahadevan
Siddique
Prabhakar
Roshan Basheer
Varun Prabhakar
Neeraj Madhav
Monichan
Pradeep Chandran
New Sub Inspector
Kalabhavan Haneef
Cinema Projector Operator
Irshad
SI Suresh Babu
Koottickal Jayachandran
Murali
Kunchan
Head Constable Madhavan
Vishnu Vishal
Arun
Amala Paul
Viji
Radha Ravi
Inspector Rajamanickam
Sangili Murugan
Arun's Houseowner
Munishkanth
Arun's Brother-in-law
Saravanan
Christopher
Mary Fernandes
Vinodhini Vaidynathan
Arun's Sister
Abhirami
Ammu
Kaali Venkat
Venkat
Suzane George
ACP Lakshmi
Nizhalgal Ravi
Doctor Nandhan
Vinod Sagar
Inbaraj
Gajaraj
Senior Police Officer
Sanjay
Kumar
Laurence Olivier
'Maxim' de Winter
Joan Fontaine
Mrs. de Winter
George Sanders
Jack Favell
Judith Anderson
Mrs. Danvers
Nigel Bruce
Major Giles Lacy
Reginald Denny
Frank Crawley
C. Aubrey Smith
Colonel Julyan
Gladys Cooper
Beatrice Lacy
Florence Bates
Mrs. Van Hopper
Melville Cooper
Coroner
Leo G. Carroll
Dr. Baker
Leonard Carey
Ben
Lumsden Hare
Tabbs
Edward Fielding
Frith
Philip Winter
Robert
Ethan Hawke
Jesse
Julie Delpy
Celine
Vernon Dobtcheff
Bookstore Manager
Louise Lemoine Torrès
Journalist #1
Rodolphe Pauly
Journalist #2
Mariane Plasteig
Waitress
Diabolo
Philippe
Denis Evrard
Boat Attendant
Albert Delpy
Man at Grill
Marie Pillet
Woman in Courtyard
Sumi Shimamoto
Nausicaä
Mahito Tsujimura
Jihl
Muzu
Hisako Kyôda
Oh-Baba
Gorô Naya
Yupa
Ichirô Nagai
Mito
Kôhei Miyauchi
Goru
Jôji Yanami
Gikkuri
Minoru Yada
Niga
Rihoko Yoshida
Teto
Girl C
Masako Sugaya
Girl A
Takako Sasuga
Girl B
Chika Sakamoto
Boy A
Tarako
Boy B
Yôji Matsuda
Asbel
Mîna Tominaga
Rastel
Jamie Foxx
Joe
Tina Fey
22
Graham Norton
Moonwind
Rachel House
Terry
Alice Braga
Counselor Jerry
Richard Ayoade
Counselor Jerry
Phylicia Rashad
Libba
Donnell Rawlings
Dez
Questlove
Curley
Angela Bassett
Dorothea
Cora Champommier
Connie
Margo Hall
Melba
Daveed Diggs
Paul
Rhodessa Jones
Lulu
Wes Studi
Counselor Jerry
Sylvester Stallone
Rocky
Talia Shire
Adrian
Burt Young
Paulie
Carl Weathers
Apollo
Burgess Meredith
Mickey
Thayer David
Jergens
Joe Spinell
Gazzo
Jimmy Gambina
Mike
Bill Baldwin
Fight Announcer
Al Silvani
Cut Man
George Memmoli
Ice Rink Attendant
Jodi Letizia
Marie
Diana Lewis
TV Commentator
George O'Hanlon
TV Commentator
Larry Carroll
TV Interviewer
John Goodman
Sullivan
Billy Crystal
Mike
Mary Gibbs
Boo
Steve Buscemi
Randall
James Coburn
Waternoose
Jennifer Tilly
Celia
Bob Peterson
Roz
John Ratzenberger
Yeti
Frank Oz
Fungus
Daniel Gerson
Needleman & Smitty
Steve Susskind
Floor Manager
Bonnie Hunt
Flint
Jeff Pidgeon
Bile
Samuel Lord Black
George Sanderson
Jack Angel
Additional Voices
Anatoliy Solonitsyn
Andrey Rublev
Ivan Lapikov
Kirill
Nikolay Grinko
Daniil Chyornyy
Nikolay Sergeev
Feofan Grek
Irina Tarkovskaya
Durochka
Nikolay Burlyaev
Boriska
Yuriy Nazarov
"Velikiy knyaz, Malyy knyaz"
Yuriy Nikulin
"Patrikey, monakh"
Rolan Bykov
Skomorokh
Nikolay Grabbe
"Stepan, sotnik Velikogo knyazya"
Mikhail Kononov
"Foma, monakh"
Stepan Krylov
Starshiy liteyshchik
Bolot Beyshenaliev
Tatarskiy khan
B. Matysik
Pyotr
Anatoliy Obukhov
"Aleksey, monakh"
Maggie Cheung
Su Li-zhen - Mrs. Chan
Tony Chiu-Wai Leung
Chow Mo-wan
Ping Lam Siu
Ah Ping
Tung Cho 'Joe' Cheung
Man living in Mr. Koo's apartment
Rebecca Pan
Mrs. Suen
Kelly Lai Chen
Mr. Ho
Man-Lei Chan
Mr. Koo
Kam-Wah Koo
Szu-Ying Chien
Amah
Paulyn Sun
Mrs. Chow
Roy Cheung
Mr. Chan
Po-chun Chow
Hsien Yu
Xolani Mali
Policeman
Don Cheadle
Paul Rusesabagina
Desmond Dube
Dube
Hakeem Kae-Kazim
George Rutaganda
Tony Kgoroge
Gregoire
Rosie Motene
Receptionist
Neil McCarthy
Jean Jacques
Mabutho 'Kid' Sithole
Head Chef
Nick Nolte
Colonel Oliver
Fana Mokoena
General Bizimungu
Jeremiah Ndlovu
Old Guard
Sophie Okonedo
Tatiana Rusesabagina
Lebo Mashile
Odette
Antonio David Lyons
Thomas Mirama
Leleti Khumalo
Fedens
Manoj Bajpayee
Sardar Khan
Richa Chadha
Nagma Khatoon
Nawazuddin Siddiqui
Faizal Khan
Tigmanshu Dhulia
Ramadhir Singh
Jameel Khan
Asgar Khan
Piyush Mishra
Nasir Ahmed
Jaideep Ahlawat
Shahid Khan
Huma Qureshi
Mohsina
Zeishan Quadri
Definite
Vipin Sharma
Ehsaan Qureshi
Satyakam Anand
J.P. Singh
Aditya Kumar
Perpendicular
Rajkummar Rao
Shamshad
Vineet Kumar Singh
Danish Khan
Sankalp Acharekar
Tangent
Emilio Echevarría
El Chivo
Gael García Bernal
Octavio
Goya Toledo
Valeria
Álvaro Guerrero
Daniel
Vanessa Bauche
Susana
Jorge Salinas
Luis
Marco Pérez
Ramiro
Rodrigo Murray
Gustavo
Humberto Busto
Jorge
Gerardo Campbell
Mauricio
Rosa María Bianchi
Tía Luisa (Aunt Luisa)
Dunia Saldívar
Mama Susana (Susana's Mother)
Adriana Barraza
Mama Octavio (Octavio's Mother)
José Sefami
Leonardo
Lourdes Echevarría
Maru
Graham Chapman
Wise Man #2
Brian Cohen
Biggus Dickus
John Cleese
Wise Man #1
Reg
Jewish Official
First Centurion
Deadly Dirk
Arthur
Terry Gilliam
Man Even Further Forward
Revolutionary
Jailer
Blood & Thunder Prophet
Frank
Audience Member
Crucifee
Eric Idle
Mr. Cheeky
Stan aka Loretta
Harry the Haggler
Culprit Woman
Warris
Intensely Dull Youth
Jailer's Assistant
Otto
Lead Singer Crucifee
Terry Jones
Mandy Cohen
Colin
Simon the Holy Man
Bob Hoskins
Saintly Passer-by
Alarmed Crucifixion Assistant
Michael Palin
Wise Man #3
Mr. Big Nose
Francis
Mrs. A
Ex-Leper
Announcer
Ben
Pontius Pilate
Boring Prophet
Eddie
Shoe Follower
Nisus Wettus
Terence Bayler
Gregory
Carol Cleveland
Mrs. Gregory
Kenneth Colley
Jesus
Neil Innes
A Weedy Samaritan
Charles McKeown
False Prophet
Blind Man
Giggling Guard
Stig
John Young
"Matthias, Son of Deuteronomy of Gath"
Gwen Taylor
Mrs. Big Nose
Sue Jones-Davies
Judith
Peter Brett
Jean-Pierre Léaud
Antoine Doinel
Claire Maurier
Gilberte Doinel - la mère d'Antoine
Albert Rémy
Julien Doinel
Guy Decomble
"'Petite Feuille', the French teacher"
Georges Flamant
Mr. Bigey
Patrick Auffay
René
Daniel Couturier
Betrand Mauricet
François Nocher
Un enfant
Child
Richard Kanayan
Un enfant
Child
Renaud Fontanarosa
Un enfant
Child
Michel Girard
Un enfant
Child
Serge Moati
Un enfant
Child
Bernard Abbou
Un enfant
Child
Jean-François Bergouignan
Un enfant
Child
Michel Lesignor
Un enfant
Child
Maria Falconetti
Jeanne d'Arc
Eugene Silvain
Évêque Pierre Cauchon (Bishop Pierre Cauchon)
André Berley
Jean d'Estivet
Maurice Schutz
Nicolas Loyseleur
Antonin Artaud
Jean Massieu
Michel Simon
Jean Lemaître
Jean d'Yd
Guillaume Evrard
Louis Ravet
Jean Beaupère
Armand Lurville
Juge (Judge)
Jacques Arnna
Juge (Judge)
Alexandre Mihalesco
Juge (Judge)
Léon Larive
Juge (Judge)
Vincent Cassel
Vinz
Hubert Koundé
Hubert
Saïd Taghmaoui
Saïd
Abdel Ahmed Ghili
